sample_id,iteration,seed,Percentage of rooms cleaned,Total moves,Total time
0,0,40949902723384810402765894196998611508,1.0,10475,0.20580291748046875
0,1,217642034287933407449602547627071401300,1.0,11755,0.2380223274230957
0,2,333537990762378381848750138950178057476,1.0,9445,0.18185138702392578
0,3,217673007862259770544899181868157785844,1.0,13515,0.2635924816131592
0,4,302960176097737683133745096542442079820,1.0,8025,0.1513993740081787
0,5,298278851695396111822287280896159531368,1.0,10605,0.20593786239624023
0,6,32092834770012965649383946315588078733,1.0,7515,0.15128493309020996
0,7,138199392125046351278771638556227628258,1.0,13805,0.2717621326446533
0,8,111357612150624915416951248423494617259,1.0,9165,0.16933512687683105
0,9,61187100771596473139943307552461279894,1.0,7175,0.13472533226013184
0,10,184429791316885200539481818183683105829,1.0,7425,0.1413259506225586
0,11,235962412573167204866577776208739354017,1.0,7695,0.17294573783874512
0,12,232987793646457128876714488629080124909,1.0,7425,0.14655828475952148
0,13,85777338893607970885649900721615935587,1.0,5055,0.15364909172058105
0,14,158408050210510423262411870024211657332,1.0,8205,0.16158199310302734
0,15,174814838690293999294579736618167174265,1.0,6775,0.13088130950927734
0,16,94458762151207253285414463177466523140,1.0,7785,0.1445152759552002
0,17,191392968199933828962327596878250627274,1.0,11555,0.21705389022827148
0,18,337377016489926135650213441831019652864,1.0,14255,0.2777974605560303
0,19,61276158258978342426458076634460546709,1.0,5875,0.1080179214477539
0,20,24689632321607551777011441594527874114,1.0,6245,0.12092900276184082
0,21,231811426134615239833901683857131193525,1.0,13075,0.24348235130310059
0,22,25446597322781746523086353625782499453,1.0,8965,0.1669456958770752
0,23,114953935111531441142096228848511076024,1.0,7345,0.136749267578125
0,24,289419254790992024264725277546855952640,1.0,7355,0.13917756080627441
0,25,14207794973041311980817129044089137972,1.0,6035,0.11620187759399414
0,26,219939372977188105603587747919886558452,1.0,5055,0.09191083908081055
0,27,42060175078617371754817491412232368247,1.0,8165,0.15371036529541016
0,28,52438704869401772009476735521273421803,1.0,8505,0.16240525245666504
0,29,197256907731051376079807581249876938312,1.0,8165,0.15399956703186035
0,30,52473761404111028131964362497293937250,1.0,8555,0.1580045223236084
0,31,255438849440170118837321923811665083562,1.0,8035,0.1830580234527588
0,32,250474289597631318836466069942839187550,1.0,7195,0.15404987335205078
0,33,199925785977001063014487135978336352637,1.0,10015,0.2156357765197754
0,34,58514163684597760610025168299590169060,1.0,11445,0.2538633346557617
0,35,313480286753281723806156040559717107707,1.0,13225,0.2798628807067871
0,36,316808713162632805496158368025042856644,1.0,9095,0.18360304832458496
0,37,327852272841451820375704956192566767418,1.0,8245,0.19614791870117188
0,38,244434332988997373750875840593890023826,1.0,6915,0.13437342643737793
0,39,11678199271738362400030366614152096540,1.0,6175,0.13173651695251465
0,40,293650399034105682731716047408045469315,1.0,6505,0.13470959663391113
0,41,14121105035775013147049761086798891342,1.0,9005,0.1815776824951172
0,42,243146626226744281671817303766654420661,1.0,4705,0.09431719779968262
0,43,128846400026101067626675711947169068245,1.0,5155,0.1114964485168457
0,44,4727160260567510549741213942093905970,1.0,12195,0.2536921501159668
0,45,157943516824582796293771819790243620704,1.0,12155,0.24942660331726074
0,46,336179546109338739530829578061506274900,1.0,9055,0.1877286434173584
0,47,293012154510896871952681251118472702989,1.0,8585,0.1830744743347168
0,48,234652390241818101313984695767828149084,1.0,9305,0.1871204376220703
0,49,91884710189253071602019511015852087334,1.0,11595,0.2421576976776123
1,0,265912937888079000281654405836189872927,1.0,8884,0.1905207633972168
1,1,127149178840818210418216865137396034327,1.0,6609,0.1313931941986084
1,2,145779714305000363766846584209244492544,1.0,15046,0.29479217529296875
1,3,165746910645824664327285289496912045491,1.0,6713,0.13032817840576172
1,4,128632461822407659366306841624826272853,1.0,8793,0.17134928703308105
1,5,262316356679109163401981723381473864802,1.0,8000,0.1499311923980713
1,6,31291563142540896929102769982732595318,1.0,13356,0.2586092948913574
1,7,47521256500468588636737165782936606440,1.0,6583,0.12429428100585938
1,8,165843193787577434680432333120912445203,1.0,8949,0.16958332061767578
1,9,304444790794021309622048695667262494773,1.0,5686,0.11000609397888184
1,10,163789828883507811948188071972544746202,1.0,8026,0.15801525115966797
1,11,21752767725202485210417662934364094299,1.0,10639,0.19826841354370117
1,12,223258522698916396428288253308083419654,1.0,11653,0.2241520881652832
1,13,46860664370209328043148525535553451902,1.0,6414,0.12037849426269531
1,14,310539091709469423419115505457709548069,1.0,16372,0.30736517906188965
1,15,58288406076576589578791628039828049031,1.0,8793,0.16972684860229492
1,16,271953274773794994609416330762866622020,1.0,8871,0.17054438591003418
1,17,4338477462606424684842357670651604441,1.0,10236,0.18980860710144043
1,18,320811993054472189705548465925022547220,1.0,5465,0.14114809036254883
1,19,104032925175480301147959624602738246506,1.0,14318,0.2910740375518799
1,20,71385741590165223801506426938125629718,1.0,9729,0.18240118026733398
1,21,283344992260255483200071826033611863069,1.0,5361,0.1038055419921875
1,22,119404131586750113114073015677199847129,1.0,11328,0.21222639083862305
1,23,115060755790803659835245843042711704777,1.0,9924,0.19483017921447754
1,24,209218021531502890501082788770712005746,1.0,7818,0.14778447151184082
1,25,312689834745251445838540572341218302734,1.0,7792,0.1467597484588623
1,26,184434949250643703931153420523238772140,1.0,6310,0.12343645095825195
1,27,238472530100428398497210388985210334020,1.0,12199,0.2389986515045166
1,28,116850045631801209392025197029160760980,1.0,9040,0.17040419578552246
1,29,66129488241980999525793068341099304320,1.0,7792,0.14983654022216797
1,30,211294325091577196376778695542489912851,0.992,20871,0.40012574195861816
1,31,256058401124169680551818965450289398489,1.0,10002,0.18800902366638184
1,32,229647977828159899515681833712831308382,1.0,7220,0.14641785621643066
1,33,194843999063010010712152471010602901610,1.0,9560,0.19602179527282715
1,34,1059682038309925307645128115152377288,1.0,8013,0.17243480682373047
1,35,274940413063834365778425330625602398650,1.0,10093,0.18900585174560547
1,36,330760394040920699285248691799368020978,1.0,5283,0.10930347442626953
1,37,24152949092644750980127582251318979517,1.0,6193,0.11722302436828613
1,38,69999398156701107478574955677049152185,1.0,6180,0.11636090278625488
1,39,27924838736356299214726141079356730018,1.0,6687,0.13145780563354492
