sample_id,iteration,seed,Percentage of rooms cleaned,Total moves,Total time
0,0,77824506565588482993668788312500973652,1.0,7125,0.14237308502197266
0,1,7513861630904187667883015832381712822,1.0,9915,0.1881120204925537
0,2,286543582732341861006450770245265961174,1.0,6035,0.10883474349975586
0,3,187547157732274278760040925259599498887,1.0,8195,0.1526494026184082
0,4,11317530629862657365763608101719014485,1.0,9035,0.16461873054504395
0,5,193163120718172877594263304694722741739,1.0,8585,0.15839338302612305
0,6,301044701943661307869580942204571451017,1.0,5285,0.0968630313873291
0,7,50441790302717993511336335653186827648,0.984,10887,0.20003676414489746
0,8,208929950767357612650834790130568827767,0.992,10846,0.20011687278747559
0,9,273446032755787910016390663748688289711,1.0,7075,0.1301896572113037
0,10,153790494060379792358042635651973616991,1.0,10035,0.1871490478515625
0,11,338604769668403444728317648214010946604,1.0,7105,0.12951064109802246
0,12,236964872162469069489654542752999265510,0.976,10918,0.20006704330444336
0,13,21063077536915785244809280919818721907,1.0,6325,0.11409783363342285
0,14,232784301124820103341851131209603616870,0.992,11086,0.2001326084136963
0,15,123137593205728855140884857313960648008,1.0,9035,0.17749738693237305
0,16,4591431084755743936079534044960618492,0.992,7266,0.20014023780822754
0,17,43269426955650416067105713433311157610,1.0,8345,0.15219855308532715
0,18,288233092636637138038927812054275796381,1.0,8755,0.16042017936706543
0,19,41832007593930925504924887264173954981,0.992,11006,0.20015478134155273
0,20,182921462048633695083081186971460718140,0.96,10940,0.2000279426574707
0,21,270493292791212451371229273389842461454,1.0,7885,0.14528155326843262
0,22,209332611682144558393171884845884075893,1.0,7905,0.14238476753234863
0,23,112854285165642265827234545540375924997,1.0,7575,0.14420700073242188
0,24,319105756668693457174918701792706476566,0.944,10762,0.20004034042358398
0,25,323650996885468401651417713142956253636,1.0,7245,0.13092350959777832
0,26,63468394055649777978975426402959064579,1.0,8085,0.14813852310180664
0,27,15175676702877041345861883063185856673,1.0,6735,0.12137913703918457
0,28,220146726115008444358959926367405619113,1.0,7525,0.14435291290283203
0,29,216766664893425380313461015484002648416,1.0,10365,0.19039273262023926
0,30,140895932219285198378889913752183661320,1.0,7255,0.14090347290039062
0,31,159170654608232235169495955667509354340,0.992,10976,0.2001171112060547
0,32,232498845629224344577007724498218809289,1.0,6825,0.1251204013824463
0,33,99158845309114835973702078920684568708,0.992,11026,0.2000417709350586
0,34,86611136327920377289213862390685932918,0.992,8406,0.20003843307495117
0,35,51213762295480356291630826305458447711,1.0,6585,0.12270283699035645
0,36,199022415442666539412850835111595778603,1.0,9385,0.17107415199279785
0,37,194304921093461947356870087808376258901,1.0,9715,0.18941473960876465
0,38,176022757045194412882195260257312015694,1.0,7105,0.13742446899414062
0,39,247662197193762836082074583628074592723,1.0,7425,0.13625454902648926
0,40,107395343226416964994723470273807841386,0.976,8218,0.20028305053710938
0,41,263816502087223958934639690617774287696,1.0,5395,0.11515378952026367
0,42,319937791711639935287445336166978818901,1.0,8355,0.16526269912719727
0,43,259458791270509934344873710162184450529,1.0,7685,0.1533663272857666
0,44,323467613902676561289850620638487273716,1.0,7015,0.1517932415008545
0,45,251337977265787331397523773863762403364,0.984,10127,0.20008349418640137
0,46,146885633573804319822172538308736346760,1.0,7385,0.1398179531097412
0,47,326255410505920928670516433771475410992,0.992,10786,0.20006918907165527
0,48,52919282578330675938945100749441086955,1.0,5265,0.10680747032165527
0,49,303501988635209024169892043504436311470,0.792,3771,0.20012354850769043
1,0,93602113597024757982097497261873665218,1.0,9863,0.18548035621643066
1,1,235025281784208111397349838419161530367,1.0,6519,0.12498021125793457
1,2,163838950535703793380159260962917823441,1.0,7014,0.12850093841552734
1,3,292667434172367119480117158594215186615,1.0,6948,0.12837910652160645
1,4,231602601523255759441946425453829345086,0.992,10293,0.20005035400390625
1,5,24571615590848594531329668249784136793,1.0,9071,0.17355918884277344
1,6,281964669197677391272737757583138511415,1.0,7707,0.15206527709960938
1,7,262921963616726641834345671998867452985,1.0,7740,0.14932799339294434
1,8,281297391172993020916945944803522476809,0.984,10899,0.20013999938964844
1,9,17577348890976250564521573940387706841,1.0,4792,0.08873128890991211
1,10,51051044650198008140973422414298499265,1.0,6354,0.11932754516601562
1,11,133586300814628738505036865408852193713,1.0,8840,0.16607666015625
1,12,100849964854822803825099606400753894946,0.976,11241,0.20015883445739746
1,13,85303982332864482858926168425072417846,0.944,10728,0.20001673698425293
1,14,40299094945788327189300607140916622240,1.0,8180,0.16371393203735352
1,15,79837382357852400291105685941639804205,1.0,8334,0.16128063201904297
1,16,84419046373118117067568190208475278844,1.0,8103,0.14527058601379395
1,17,85748068805323717421286872049567105843,0.968,10318,0.20008420944213867
